Station,Fork.,Selskab,Status,Strækning,Bemærkninger
Lundby,Lu,Banedanmark,P,Rg-Rf,Station
Lunde,Lu,VNJ,P,Va-Nbl,Trinbræt med sidespor
Lunderskov,Lk,Banedanmark,P,Fa-Pa, Lk-Es,Station
Lyngby,Ly,Banedanmark,P,Gj-Hi,Station
Lyngby lokal,Lyl,Lokaltog A/S,P,Jæt-Nær,Trinbræt
Lyngs,Ln,Banedanmark,P,Str-Ti,Trinbræt
Løftgård,Lø,VNJ,P,Va-Nbl,Trinbræt
Malmparken,Mpt,Banedanmark,P,Val (nær)-Fs,Trinbræt
Maribo,Mrb,Lokaltog A/S,P,Nfv-Nsk,Station
Marienlyst,Mar,Lokaltog A/S,P,Hg-Gll,Trinbræt
Marslev,Mv,Banedanmark,÷ P,Kh-Fa/Tl,Station
Masnedsundbroen,-,Banedanmark,÷ P,Rg-Rf,Bro (aflåst, og kan ikke åbnes)
Masnedø,Mn,Banedanmark,÷ P,Rg-Rf,Station
Melby,Mel,Lokaltog A/S,P,Hi-Hun,Station
Middelfart,Md,Banedanmark,P,Kh-Fa/Tl,Station
Mundelstrup,Mu,Banedanmark,÷ P,Ar-Ab,Station
Mørdrup,Møt,Lokaltog A/S,P,Hi-Sq,Trinbræt
Mørkøv,Mø,Banedanmark,P,Ro-Kb,Station
Måløv,Mw,Banedanmark,P,Val (nær)-Fs,Trinbræt
Mårsø,Mø,Lokaltog A/S,÷ P,Hk-Nk,Station
Mårum,Mmg,Lokaltog A/S,P,Kgg-Gll,Station
Nakskov,Nsk,Lokaltog A/S,P,Nfv-Nsk,Station
Napstjært,Nap,Nordjyske Jernbaner,P,Fh-Sgb,Trinbræt
Nejrup,Net,Midtjyske Jernbaner,P,Vem-Thb,Trinbræt
Nivå,Ni,Banedanmark,P,Kh-Hg,Station
Nordhavn,Nht,Banedanmark,P,Kh (nær)-Gj,Trinbræt
Nr. Asmindrup,Am,Lokaltog A/S,P,Hk-Nk,Station
Ny Ellebjerg,Nel,Banedanmark,P,Kh-Ig,Trinbræt
